"Year","MunicipalityID","Municipality.x","PcgEduSuperior","PcgEduMediaSuperior","PcgEduBasico","PcgSinEdu","NumCrimenes"
2015,26002,"Agua Prieta",14.6853146853147,17.2494172494172,67.1328671328671,0.932400932400932,696
2015,26003,"Álamos",0,9.47368421052632,80,10.5263157894737,183
2015,26012,"Bácum",13.2978723404255,18.0851063829787,59.5744680851064,9.04255319148936,110
2015,26017,"Caborca",7.84313725490196,10.2941176470588,73.5294117647059,8.33333333333333,1189
2015,26018,"Cajeme",25.7123002084781,23.5580264072272,46.7685892981237,3.96108408617095,4968
2015,26019,"Cananea",15.0649350649351,18.4415584415584,63.8961038961039,2.5974025974026,455
2015,26021,"La Colorada",3.3112582781457,12.5827814569536,74.8344370860927,9.27152317880795,10
2015,26023,"Cumpas",25.8278145695364,31.7880794701987,42.3841059602649,0,27
2015,26025,"Empalme",15.2293577981651,22.5688073394495,59.6330275229358,2.56880733944954,354
2015,26026,"Etchojoa",8.19327731092437,15.1260504201681,64.0756302521009,12.6050420168067,376
2015,26029,"Guaymas",33.6054421768707,22.1768707482993,41.2244897959184,2.99319727891156,963
2015,26030,"Hermosillo",34.261576971214,22.4916562369629,41.5467250730079,1.70004171881519,10955
2015,26033,"Huatabampo",19.3034825870647,21.6915422885572,52.7363184079602,6.26865671641791,418
2015,26036,"Magdalena",43.0555555555556,15.2777777777778,38.8888888888889,2.77777777777778,209
2015,26041,"Nacozari de García",30.5389221556886,19.1616766467066,47.9041916167665,2.39520958083832,100
2015,26042,"Navojoa",18.8468691878487,18.1029138251705,58.7724736515809,4.27774333539988,1178
2015,26043,"Nogales",19.1318327974277,28.3762057877814,50.8038585209003,1.68810289389068,1690
2015,26048,"Puerto Peñasco",1.86915887850467,28.9719626168224,56.0747663551402,13.0841121495327,563
2015,26049,"Quiriego",8.04597701149425,13.7931034482759,67.816091954023,10.3448275862069,16
2015,26052,"Sahuaripa",20,22.3529411764706,55.2941176470588,2.35294117647059,45
2015,26055,"San Luis Río Colorado",18.646408839779,17.1270718232044,59.1160220994475,5.11049723756906,2832
2015,26056,"San Miguel de Horcasitas",2.7027027027027,8.10810810810811,89.1891891891892,0,11
2015,26058,"Santa Ana",18.2561307901907,19.0735694822888,61.8528610354223,0.817438692098093,96
2015,26060,"Sáric",5.45454545454545,11.5151515151515,79.3939393939394,3.63636363636364,20
2015,26066,"Ures",25.2136752136752,36.3247863247863,36.7521367521368,1.70940170940171,151
2015,26071,"Benito Juárez",18.4538653366584,13.9650872817955,63.3416458852868,4.23940149625935,292
2016,26002,"Agua Prieta",11.4406779661017,20.7627118644068,64.8305084745763,2.96610169491525,677
2016,26003,"Álamos",0,12.2448979591837,77.5510204081633,10.2040816326531,180
2016,26012,"Bácum",10.5960264900662,7.94701986754967,75.4966887417219,5.96026490066225,142
2016,26017,"Caborca",7.9646017699115,12.3893805309735,70.2064896755162,9.43952802359882,1619
2016,26018,"Cajeme",24.2735042735043,22.2222222222222,50.7692307692308,2.73504273504274,4921
2016,26019,"Cananea",19.8095238095238,25.7142857142857,52,2.47619047619048,393
2016,26025,"Empalme",22.9960578186597,20.7621550591327,53.3508541392904,2.89093298291721,455
2016,26026,"Etchojoa",5.80912863070539,17.8423236514523,62.655601659751,13.6929460580913,449
2016,26029,"Guaymas",27.4159663865546,25.5252100840336,44.327731092437,2.73109243697479,1094
2016,26030,"Hermosillo",33.0316031812474,23.074508162411,41.9056090414399,1.98827961490163,19092
2016,26033,"Huatabampo",16.1936560934891,23.3722871452421,54.2570951585977,6.17696160267112,915
2016,26035,"Imuris",3.03030303030303,12.1212121212121,78.7878787878788,6.06060606060606,103
2016,26036,"Magdalena",7.37327188940092,10.5990783410138,78.8018433179724,3.2258064516129,342
2016,26039,"Naco",25.3164556962025,10.126582278481,64.5569620253165,0,26
2016,26041,"Nacozari de García",31.4516129032258,19.3548387096774,48.3870967741936,0.806451612903226,128
2016,26042,"Navojoa",17.3038229376258,19.2488262910798,58.6854460093897,4.76190476190476,1626
2016,26043,"Nogales",18.9144736842105,29.6052631578947,50.1644736842105,1.31578947368421,1810
2016,26048,"Puerto Peñasco",12.9464285714286,18.9732142857143,62.2767857142857,5.80357142857143,839
2016,26049,"Quiriego",6.66666666666667,13.3333333333333,70.8333333333333,9.16666666666667,16
2016,26052,"Sahuaripa",18.9655172413793,21.8390804597701,56.6091954022989,2.58620689655172,125
2016,26055,"San Luis Río Colorado",23.7693389592124,18.4247538677918,51.7580872011252,6.0478199718706,2744
2016,26058,"Santa Ana",12.621359223301,18.9320388349515,66.504854368932,1.94174757281553,143
2016,26060,"Sáric",2.53164556962025,15.1898734177215,79.746835443038,2.53164556962025,15
2016,26069,"Yécora",4.8,17.6,77.6,0,63
2016,26071,"Benito Juárez",13.6666666666667,18.6666666666667,61.6666666666667,6,257
2017,26002,"Agua Prieta",18.7786259541985,21.9847328244275,54.9618320610687,4.27480916030534,361
2017,26004,"Altar",9.87654320987654,11.1111111111111,72.8395061728395,6.17283950617284,25
2017,26012,"Bácum",23.3532934131737,11.9760479041916,64.0718562874251,0.598802395209581,126
2017,26017,"Caborca",9.79381443298969,24.4845360824742,61.0824742268041,4.63917525773196,613
2017,26018,"Cajeme",27.4524431182395,21.5964192465498,48.3774710928758,2.57366654233495,4357
2017,26019,"Cananea",30.9128630705394,30.7053941908714,38.3817427385892,0,83
2017,26025,"Empalme",29.1666666666667,17.5287356321839,48.8505747126437,4.45402298850575,272
2017,26026,"Etchojoa",18.3760683760684,17.9487179487179,62.8205128205128,0.854700854700855,226
