"Municipality","MunicipalityID","Year","PcgEduSuperior","PcgEduMediaSuperior","PcgEduBasico","PcgSinEdu"
"Agua Prieta",26002,2010,18.3150183150183,22.3443223443223,57.5091575091575,1.83150183150183
"Agua Prieta",26002,2011,14.8148148148148,21.5686274509804,62.7450980392157,0.871459694989107
"Agua Prieta",26002,2012,25.6329113924051,25.6329113924051,45.5696202531646,3.16455696202532
"Agua Prieta",26002,2013,18.639798488665,24.6851385390428,55.1637279596977,1.51133501259446
"Agua Prieta",26002,2014,15.9135559921415,19.4499017681729,63.0648330058939,1.57170923379175
"Agua Prieta",26002,2015,14.6853146853147,17.2494172494172,67.1328671328671,0.932400932400932
"Agua Prieta",26002,2016,11.4406779661017,20.7627118644068,64.8305084745763,2.96610169491525
"Agua Prieta",26002,2017,18.7786259541985,21.9847328244275,54.9618320610687,4.27480916030534
"Agua Prieta",26002,2018,20,25.3125,53.59375,1.09375
"Agua Prieta",26002,2019,18.0989583333333,24.4791666666667,56.640625,0.78125
"Agua Prieta",26002,2020,12.7208480565371,20.1413427561837,64.4876325088339,2.65017667844523
"Agua Prieta",26002,2021,15.3677277716795,28.9791437980241,53.8968166849616,1.7563117453348
"Agua Prieta",26002,2022,19.3548387096774,27.0967741935484,50.752688172043,2.79569892473118
"Álamos",26003,2010,3.05343511450382,18.3206106870229,63.3587786259542,15.2671755725191
"Álamos",26003,2011,0,14.1732283464567,81.1023622047244,4.7244094488189
"Álamos",26003,2012,1.96078431372549,6.27450980392157,79.6078431372549,12.156862745098
"Álamos",26003,2013,2.85714285714286,5.14285714285714,77.1428571428572,14.8571428571429
"Álamos",26003,2014,6,6.5,71.5,16
"Álamos",26003,2015,0,9.47368421052632,80,10.5263157894737
"Álamos",26003,2016,0,12.2448979591837,77.5510204081633,10.2040816326531
"Altar",26004,2017,9.87654320987654,11.1111111111111,72.8395061728395,6.17283950617284
"Altar",26004,2018,6.32911392405063,14.5569620253165,72.7848101265823,6.32911392405063
"Altar",26004,2019,4.3956043956044,13.1868131868132,73.6263736263736,8.79120879120879
"Bacanora",26009,2019,5,22.5,67.5,5
"Bacanora",26009,2020,14.0740740740741,16.2962962962963,62.2222222222222,7.40740740740741
"Bacanora",26009,2021,31.7073170731707,0,53.6585365853659,14.6341463414634
"Bacerac",26010,2018,6.09756097560976,18.2926829268293,73.1707317073171,2.4390243902439
"Bacerac",26010,2019,4.8,16,76.8,2.4
"Bácum",26012,2010,14.8936170212766,14.3617021276596,66.4893617021277,4.25531914893617
"Bácum",26012,2011,16.2921348314607,20.2247191011236,61.2359550561798,2.24719101123596
"Bácum",26012,2012,10.7344632768362,12.4293785310734,72.8813559322034,3.95480225988701
"Bácum",26012,2013,15.9663865546218,23.249299719888,55.1820728291317,5.60224089635854
"Bácum",26012,2014,17.5732217573222,25.1046025104602,49.3723849372385,7.94979079497908
